"FTSEDate","FTSEClose","FTSE_hpft","FTSE_hpfc"
2014-10-14,6392.68,6647.1057733578,-254.425773357804
2014-10-15,6211.64,6646.64543646423,-435.005436464232
2014-10-16,6195.91,6646.24222930242,-450.33222930242
2014-10-17,6310.29,6645.89725126637,-335.607251266374
2014-10-20,6267.07,6645.61141560113,-378.541415601129
2014-10-21,6372.33,6645.38549682496,-273.055496824961
2014-10-22,6399.73,6645.22011298249,-245.490112982491
2014-10-23,6419.15,6645.11576924794,-225.965769247941
2014-10-24,6388.73,6645.07286932,-256.342869319996
2014-10-27,6363.46,6645.09172349223,-281.631723492235
2014-10-28,6402.17,6645.17253609636,-243.002536096358
2014-10-29,6453.87,6645.31539504876,-191.445395048758
2014-10-30,6463.55,6645.52028781831,-181.970287818307
2014-10-31,6546.47,6645.7871227381,-99.3171227380961
2014-11-03,6487.97,6646.11573292215,-158.145732922153
2014-11-04,6453.97,6646.50591043051,-192.535910430511
2014-11-05,6539.14,6646.95738195238,-107.817381952382
2014-11-06,6551.15,6647.46979459036,-96.3197945903646
2014-11-07,6567.24,6648.04275087956,-80.8027508795603
2014-11-10,6611.25,6648.6758135403,-37.4258135402969
2014-11-11,6627.4,6649.36851189242,-21.9685118924213
2014-11-12,6611.04,6650.12035978557,-39.0803597855664
2014-11-13,6635.45,6650.93086198817,-15.4808619881727
2014-11-14,6654.37,6651.79950711457,2.57049288543172
2014-11-17,6671.97,6652.72577738003,19.244222619967
2014-11-18,6709.13,6653.70915606221,55.4208439377878
2014-11-19,6696.6,6654.74913439348,41.8508656065208
2014-11-20,6678.9,6655.84522651522,23.054773484781
2014-11-21,6750.76,6656.99696386806,93.7630361319446
2014-11-24,6729.79,6658.20388742266,71.5861125773392
2014-11-25,6731.14,6659.4655769076,71.6744230924038
2014-11-26,6729.17,6660.78164164209,68.3883583579117
2014-11-27,6723.42,6662.15172057281,61.2682794271871
2014-11-28,6722.62,6663.57548091542,59.044519084576
2014-12-01,6656.37,6665.05261521135,-8.68261521135238
2014-12-02,6742.1,6666.58284040877,75.5171595912309
2014-12-03,6716.63,6668.16586986672,48.4641301332755
2014-12-04,6679.37,6669.80144816006,9.56855183994048
2014-12-05,6742.84,6671.48933989662,71.3506601033782
2014-12-08,6672.15,6673.22931363974,-1.07931363973925
2014-12-09,6529.47,6675.02116744603,-145.551167446029
2014-12-10,6500.04,6676.86469892604,-176.824698926044
2014-12-11,6461.7,6678.75964552543,-217.059645525429
2014-12-12,6300.63,6680.70567159742,-380.07567159742
2014-12-15,6182.72,6682.70235177162,-499.982351771619
2014-12-16,6331.83,6684.74910356965,-352.919103569646
2014-12-17,6336.48,6686.84513784055,-350.365137840555
2014-12-18,6466,6688.9895195508,-222.989519550802
2014-12-19,6545.27,6691.18116883998,-145.911168839981
2014-12-22,6576.74,6693.41891367268,-116.678913672679
2014-12-23,6598.18,6695.70152169975,-97.5215216997528
2014-12-24,6609.93,6698.02771234166,-88.0977123416565
2014-12-29,6633.51,6700.39616470746,-66.8861647074614
2014-12-30,6547,6702.80552149015,-155.805521490147
2014-12-31,6566.09,6705.25439773461,-139.164397734606
2015-01-02,6547.8,6707.74134408206,-159.941344082061
2015-01-05,6417.16,6710.26485364873,-293.104853648734
2015-01-06,6366.51,6712.82335343744,-346.313353437438
2015-01-07,6419.83,6715.41514929338,-295.585149293376
2015-01-08,6504.04,6718.03840390968,-213.998403909675
2015-01-09,6501.14,6720.6911577964,-219.551157796401
2015-01-12,6501.42,6723.37136300538,-221.951363005381
2015-01-13,6542.2,6726.07688083471,-183.876880834712
2015-01-14,6388.46,6728.80548083677,-340.345480836765
2015-01-15,6498.78,6731.55485655661,-232.774856556605
2015-01-16,6550.27,6734.3225608542,-184.052560854201
2015-01-19,6585.53,6737.10605036972,-151.576050369724
2015-01-20,6620.1,6739.90270566343,-119.802705663427
2015-01-21,6728.04,6742.70984464008,-14.6698446400821
2015-01-22,6796.63,6745.52473568289,51.1052643171101
2015-01-23,6832.83,6748.34464111109,84.4853588889096
2015-01-26,6852.4,6751.16684436881,101.233155631193
2015-01-27,6811.61,6753.988663823,57.6213361769988
2015-01-28,6825.94,6756.80745968635,69.1325403136481
2015-01-29,6810.6,6759.62061598988,50.9793840101223
2015-01-30,6749.4,6762.42554534122,-13.0255453412246
2015-02-02,6782.55,6765.21968142085,17.3303185791507
2015-02-03,6871.8,6768.00045252501,103.79954747499
2015-02-04,6860.02,6770.76529411355,89.2547058864501
2015-02-05,6865.93,6773.51168455291,92.4183154470944
2015-02-06,6853.44,6776.23713910384,77.2028608961585
2015-02-09,6837.15,6778.93921122916,58.2107887708423
2015-02-10,6829.12,6781.61548630416,47.5045136958441
2015-02-11,6818.17,6784.26357376615,33.9064262338545
2015-02-12,6828.11,6786.8811026889,41.2288973110949
2015-02-13,6873.52,6789.46571616183,84.0542838381737
2015-02-16,6857.05,6792.01507431659,65.0349256834139
2015-02-17,6898.13,6794.52687202951,103.603127970494
2015-02-18,6898.08,6796.99883105979,101.08116894021
2015-02-19,6888.9,6799.42871599193,89.4712840080665
2015-02-20,6915.2,6801.81433319341,113.385666806591
