"PK0Date","PK0Close","PK0_hpft","PK0_hpfc"
2021-09-30,8442,8606.66553549959,-164.665535499594
2021-10-08,8458,8598.09095400525,-140.090954005248
2021-10-11,8748,8589.66152329064,158.338476709357
2021-10-12,8790,8581.37748242625,208.622517573752
2021-10-13,8668,8573.2391359341,94.7608640659009
2021-10-14,8630,8565.24687457175,64.7531254282487
2021-10-15,8560,8557.40112826718,2.59887173281577
2021-10-18,8572,8549.7023537153,22.2976462847043
2021-10-19,8704,8542.1510086848,161.848991315205
2021-10-20,8844,8534.74756016126,309.252439838739
2021-10-21,8766,8527.49254203226,238.507457967738
2021-10-22,8774,8520.38661601806,253.613383981944
2021-10-25,9030,8513.43054242822,516.569457571783
2021-10-26,8992,8506.62518640559,485.37481359441
2021-10-27,8836,8499.9716266221,336.028373377901
2021-10-28,8776,8493.47114238449,282.528857615514
2021-10-29,8796,8487.1251519002,308.874848099804
2021-11-01,8802,8480.93519016172,321.064809838276
2021-11-02,8940,8474.90291983949,465.097080160508
2021-11-03,8906,8469.03013631812,436.969863681875
2021-11-04,8762,8463.31882723501,298.681172764989
2021-11-05,8844,8457.7711608534,386.228839146595
2021-11-08,8784,8452.38942889917,331.610571100831
2021-11-09,8714,8447.17608274997,266.823917250029
2021-11-10,8798,8442.13371085758,355.866289142425
2021-11-11,8730,8437.26501196778,292.734988032223
2021-11-12,8602,8432.57283192788,169.427168072125
2021-11-15,8608,8428.06013759009,179.939862409911
2021-11-16,8528,8423.7299658404,104.2700341596
2021-11-17,8560,8419.585427945,140.414572054998
2021-11-18,8516,8415.62967827061,100.370321729387
2021-11-19,8632,8411.86592922638,220.134070773618
2021-11-22,8542,8408.29743471052,133.702565289477
2021-11-23,8470,8404.92753961534,65.0724603846562
2021-11-24,8488,8401.75964410101,86.2403558989925
2021-11-25,8534,8398.79717522523,135.202824774769
2021-11-26,8372,8396.04359569495,-24.043595694949
2021-11-29,8336,8393.50242410346,-57.5024241034598
2021-11-30,8176,8391.17716910599,-215.177169105996
2021-12-01,8180,8389.071315589,-209.071315588996
2021-12-02,8132,8387.18825949278,-255.188259492777
2021-12-03,8128,8385.53131033604,-257.531310336043
2021-12-06,8182,8384.10367215259,-202.103672152587
2021-12-07,8164,8382.9084425239,-218.908442523902
2021-12-08,7998,8381.94863548957,-383.948635489566
2021-12-09,7928,8381.22717460096,-453.227174600958
2021-12-10,7932,8380.74682470122,-448.746824701217
2021-12-13,8032,8380.51016328668,-348.510163286678
2021-12-14,8128,8380.51958236036,-252.519582360363
2021-12-15,8250,8380.77732986536,-130.77732986536
