"US_PPIDate","US_PPI","US_PPI_hpft","US_PPI_hpfc"
2017-12-01,2.2,2.26859883174287,0.0314011682571315
2017-11-01,2.3,2.20704937445792,0.192950625542075
2017-10-01,2.4,2.14052832130686,0.0594716786931368
2017-09-01,2.2,2.06973733469396,0.130262665306043
2017-08-01,2.2,1.99542763675572,-0.0954276367557219
2017-07-01,1.9,1.91845900184976,-0.118459001849764
2017-06-01,1.8,1.83961168130306,0.160388318696939
2017-05-01,2,1.75956721060771,0.140432789392288
2017-04-01,1.9,1.67914078218807,-0.179140782188067
2017-03-01,1.5,1.59926461579297,-0.299264615792968
2017-02-01,1.3,1.5207216471861,-0.120721647186099
2017-01-01,1.4,1.44404542495132,0.155954575048681
2016-12-01,1.6,1.36966889629983,0.23033110370017
2016-11-01,1.6,1.29815497058871,-0.0981549705887114
2016-10-01,1.2,1.23025849976146,-0.0302584997614555
2016-09-01,1.2,1.16665253995273,-0.166652539952731
2016-08-01,1,1.10798493188074,-0.40798493188074
2016-07-01,0.7,1.05476463914706,0.245235360852939
2016-06-01,1.3,1.00716063791003,0.192839362089969
2016-05-01,1.2,0.965546267128705,-0.0655462671287046
2016-04-01,0.9,0.930455565230539,0.169544434769461
2016-03-01,1.1,0.902367948753721,0.397632051246279
2016-02-01,1.3,0.881904121265403,-0.0819041212654026
2016-01-01,0.8,0.870016146375461,-0.670016146375461
2015-12-01,0.2,0.867587834259357,-0.567587834259357
2015-11-01,0.3,0.874944648303945,-0.674944648303945
2015-10-01,0.2,0.891939062034167,-0.191939062034167
2015-09-01,0.7,0.917861095101378,-0.317861095101378
2015-08-01,0.6,0.951840817938586,-0.151840817938586
2015-07-01,0.8,0.99274341673287,0.10725658326713
2015-06-01,1.1,1.03930754365636,-0.339307543656359
2015-05-01,0.7,1.09036123136725,-0.0903612313672458
2015-04-01,1,1.14444975623734,-0.344449756237338
2015-03-01,0.8,1.20004309361231,-0.200043093612308
2015-02-01,1,1.25532417737429,0.444675822625706
2015-01-01,1.7,1.30830923882742,0.691690761172575
2014-12-01,2,1.35738507246135,0.342614927538651
2014-11-01,1.7,1.40151488173336,0.498485118266638
2014-10-01,1.9,1.43994738254037,0.160052617459626
2014-09-01,1.6,1.47234669504451,0.427653304955485
2014-08-01,1.9,1.49851031658913,0.401489683410865
2014-07-01,1.9,1.51859212227171,0.0814078777282921
2014-06-01,1.6,1.53308056192589,0.566919438074114
2014-05-01,2.1,1.54253192528343,-0.0425319252834341
2014-04-01,1.5,1.54797493494117,0.0520250650588272
2014-03-01,1.6,1.55040287022486,0.0495971297751449
2014-02-01,1.6,1.55085236468111,-0.150852364681114
2014-01-01,1.4,1.55040138279806,-0.350401382798064
2013-12-01,1.2,1.55000217875992,-0.150002178759918
2013-11-01,1.4,1.55031500559856,0.149684994401443
2013-10-01,1.7,1.55187511453023,0.0481248854697714
2013-09-01,1.6,1.55534249426652,0.244657505733485
2013-08-01,1.8,1.56141723759022,0.138582762409775
2013-07-01,1.7,1.57100331853895,-0.271003318538945
2013-06-01,1.3,1.5851201967856,-0.6851201967856
2013-05-01,0.9,1.60456149590434,-0.304561495904339
2013-04-01,1.3,1.62954990597197,-0.129549905971975
2013-03-01,1.5,1.66005431581875,-0.260054315818755
2013-02-01,1.4,1.69593565601993,0.00406434398007131
2013-01-01,1.7,1.73683814522091,0.263161854779091
2012-12-01,2,1.78240938902042,0.017590610979577
2012-11-01,1.8,1.83251629456285,-0.232516294562855
2012-10-01,1.6,1.88704042783505,-0.487040427835046
2012-09-01,1.4,1.94566959124507,-0.745669591245069
2012-08-01,1.2,2.00768572017778,-0.30768572017778
2012-07-01,1.7,2.071749358692,-0.171749358692005
2012-06-01,1.9,2.13626464607975,0.0637353539202492
2012-05-01,2.2,2.19949259716745,-0.0994925971674512
2012-04-01,2.1,2.25974733957647,0.0402526604235308
2012-03-01,2.3,2.31526009043054,0.284739909569463
2012-02-01,2.6,2.36429561073706,0.135704389262944
2012-01-01,2.5,2.40535594476143,0.194644055238574
2011-12-01,2.6,2.43705622376008,0.26294377623992
2011-11-01,2.7,2.45817378236882,0.241826217631179
2011-10-01,2.7,2.46770507503699,0.432294924963009
2011-09-01,2.9,2.46484807806195,0.535151921938046
2011-08-01,3,2.44916101351188,0.250838986488124
2011-07-01,2.7,2.42064806338988,0.179351936610122
2011-06-01,2.6,2.3795224421878,-0.0795224421878023
2011-05-01,2.3,2.32614682434469,0.173853175655315
2011-04-01,2.5,2.26081761559773,0.739182384402274
2011-03-01,3,2.18397609933052,0.916023900669483
2011-02-01,3.1,2.09667954424698,0.603320455753019
2011-01-01,2.7,2.0007485723016,0.399251427698405
2010-12-01,2.4,1.8985065724953,0.301493427504704
2010-11-01,2.2,1.79260964335211,-1.19260964335211
2010-10-01,0.6,1.68596512791899,-0.885965127918994
2010-09-01,0.8,1.58048652787342,-0.680486527873415
2010-08-01,0.9,1.4773490406196,-0.577349040619595
2010-07-01,0.9,1.37716079145519,-0.47716079145519
2010-06-01,0.9,1.28004878147734,-0.380048781477339
2010-05-01,0.9,1.1857423777903,-0.285742377790303
2010-04-01,0.9,1.09365424018044,0.00634575981955615
2010-03-01,1.1,1.00295890978597,0.297041090214034
2010-02-01,1.3,0.912836215878258,0.687163784121742
