"EURUSDDate","EURUSDClose","EURUSD_hpft","EURUSD_hpfc"
2011-03-09,1.388,1.39786314544958,-0.0098631454495795
2011-03-10,1.385,1.39867332136697,-0.0136733213669737
2011-03-11,1.39,1.3994794547628,-0.00947945476279764
2011-03-14,1.397,1.4002811720547,-0.00328117205470284
2011-03-15,1.388,1.40107809574191,-0.0130780957419098
2011-03-16,1.393,1.40186984696734,-0.00886984696734316
2011-03-17,1.402,1.40265604146796,-0.000656041467959542
2011-03-18,1.418,1.40343629131429,0.0145637086857115
2011-03-21,1.416,1.40421020830567,0.0117897916943292
2011-03-22,1.424,1.40497741026149,0.0190225897385117
2011-03-23,1.42,1.40573751987458,0.0142624801254199
2011-03-24,1.413,1.40649016770095,0.00650983229905251
2011-03-25,1.409,1.4072349901921,0.00176500980789986
2011-03-28,1.406,1.40797162649049,-0.00197162649048996
2011-03-29,1.408,1.40869971646812,-0.000699716468121887
2011-03-30,1.409,1.409418899182,-0.000418899182001958
2011-03-31,1.421,1.41012881339993,0.0108711866000723
2011-04-01,1.424,1.41082909771655,0.0131709022834496
2011-04-04,1.422,1.4115193952202,0.0104806047798036
2011-04-05,1.417,1.41219935444354,0.00480064555645945
2011-04-06,1.431,1.41286862825152,0.0181313717484832
2011-04-07,1.427,1.41352687149346,0.0134731285065441
2011-04-08,1.448,1.41417374651346,0.033826253486543
2011-04-11,1.446,1.41480892122484,0.0311910787751551
2011-04-12,1.446,1.41543207752341,0.030567922476592
2011-04-13,1.451,1.41604291019804,0.0349570898019571
2011-04-14,1.439,1.41664112667321,0.0223588733267932
2011-04-15,1.443,1.41722644882321,0.0257735511767856
2011-04-18,1.43,1.41779860776462,0.0122013922353818
2011-04-19,1.428,1.4183573452677,0.00964265473229701
2011-04-20,1.452,1.4189024081464,0.0330975918535989
2011-04-21,1.462,1.41943354720046,0.04256645279954
2011-04-22,1.456,1.41995052691087,0.0360494730891292
2011-04-25,1.46,1.42045312935388,0.0395468706461207
2011-04-26,1.462,1.4209411515071,0.0410588484928979
2011-04-27,1.467,1.42141440669531,0.045585593304693
2011-04-28,1.482,1.42187272521526,0.060127274784739
2011-04-29,1.481,1.42231595620702,0.0586840437929806
2011-05-02,1.485,1.42274397366488,0.0622560263351191
2011-05-03,1.477,1.42315667584071,0.0538433241592864
2011-05-04,1.485,1.42355398672049,0.0614460132795103
2011-05-05,1.483,1.42393585254692,0.0590641474530757
2011-05-06,1.432,1.424302244962,0.00769775503800356
2011-05-09,1.439,1.42465316002245,0.0143468399775515
2011-05-10,1.434,1.42498859696694,0.00901140303305806
2011-05-11,1.437,1.42530856096457,0.0116914390354276
2011-05-12,1.415,1.42561306090938,-0.010613060909375
2011-05-13,1.412,1.42590211052814,-0.0139021105281427
2011-05-16,1.411,1.42617571916069,-0.015175719160692
2011-05-17,1.42,1.42643389040024,-0.00643389040024421
2011-05-18,1.424,1.42667662156698,-0.00267662156697573
2011-05-19,1.427,1.4269039073216,9.60926783983695e-05
2011-05-20,1.416,1.42711574121836,-0.0111157412183566
2011-05-23,1.4,1.42731211685124,-0.0273121168512367
2011-05-24,1.41,1.42749302321945,-0.0174930232194548
2011-05-25,1.406,1.42765843803244,-0.0216584380324441
2011-05-26,1.417,1.42780833176877,-0.0108083317687748
2011-05-27,1.432,1.42794266595424,0.00405733404575757
2011-05-30,1.429,1.42806139764695,0.000938602353048584
2011-05-31,1.44,1.42816448558213,0.0118355144178719
2011-06-01,1.44,1.42825188888297,0.0117481111170332
2011-06-02,1.447,1.42832357156502,0.0186764284349769
2011-06-03,1.464,1.42837950250003,0.0356204974999721
2011-06-06,1.461,1.4284196582798,0.0325803417201983
2011-06-07,1.467,1.42844403022024,0.0385559697797609
2011-06-08,1.462,1.42845262310463,0.0335473768953675
2011-06-09,1.46,1.42844545765377,0.0315545423462257
2011-06-10,1.435,1.42842256845555,0.00657743154444859
