"IF00C1Date","IF00C1Close","IF00C1_hpft","IF00C1_hpfc"
2014-12-23,3313,3240.58564404752,72.4143559524829
2014-12-24,3259,3255.00694529597,3.99305470403308
2014-12-25,3381,3269.44173589764,111.558264102356
2014-12-26,3483,3283.88706285916,199.112937140842
2014-12-29,3474.6,3298.34001930083,176.259980699171
2014-12-30,3482.6,3312.79778064825,169.802219351753
2014-12-31,3593.2,3327.25759518579,265.942404814215
2015-01-05,3671.4,3341.71678138724,329.683218612764
2015-01-06,3656.8,3356.17276765629,300.627232343715
2015-01-07,3663.2,3370.62311867439,292.576881325607
2015-01-08,3562,3385.06552339024,176.934476609757
2015-01-09,3528,3399.49779169204,128.502208307964
2015-01-12,3537.6,3413.9178066056,123.682193394403
2015-01-13,3529.6,3428.32350427431,101.276495725689
2015-01-14,3504.2,3442.71287196689,61.4871280331101
2015-01-15,3625,3457.08393881566,167.916061184337
2015-01-16,3641.2,3471.43475936925,169.765240630754
2015-01-19,3316.2,3485.763457586,-169.563457585999
2015-01-20,3394.4,3500.0682275984,-105.668227598402
2015-01-21,3546,3514.34719344827,31.6528065517273
2015-01-22,3561.2,3528.59843549835,32.60156450165
2015-01-23,3597,3542.82004719541,54.1799528045885
2015-01-26,3626.8,3557.01013546245,69.7898645375539
2015-01-27,3574.6,3571.16682961825,3.43317038175002
2015-01-28,3523.6,3585.28828782989,-61.6882878298932
2015-01-29,3493.6,3599.37266968354,-105.772669683542
2015-01-30,3429.2,3613.418109266,-184.218109265998
2015-02-02,3397,3627.42269694189,-230.422696941889
2015-02-03,3455.4,3641.38444692747,-185.984446927466
2015-02-04,3392,3655.30127819152,-263.301278191519
2015-02-05,3355.2,3669.17103282423,-313.971032824229
2015-02-06,3344.6,3682.99144407775,-338.391444077754
2015-02-09,3376.2,3696.76011542116,-320.56011542116
2015-02-10,3437.4,3710.47451044615,-273.074510446153
2015-02-11,3447,3724.13196023788,-277.131960237879
2015-02-12,3455.8,3737.7296830033,-281.9296830033
2015-02-13,3466,3751.26478239412,-285.264782394116
2015-02-16,3506.8,3764.73424552396,-257.934245523962
2015-02-17,3519,3778.13494158923,-259.134941589231
2015-02-25,3493.2,3791.46363316652,-298.263633166518
2015-02-26,3612.6,3804.71697571675,-192.116975716749
2015-02-27,3587.2,3817.89150141061,-230.691501410607
2015-03-02,3606.2,3830.9836630054,-224.783663005397
2015-03-03,3539.6,3843.98981789946,-304.389817899459
2015-03-04,3533.2,3856.90623057478,-323.706230574775
2015-03-05,3506.6,3869.72903969105,-363.129039691055
2015-03-06,3490.2,3882.45425010075,-392.254250100751
2015-03-09,3564.4,3895.07771655336,-330.677716553363
2015-03-10,3527.8,3907.59513165617,-379.795131656167
2015-03-11,3542.2,3920.00205132778,-377.802051327777
2015-03-12,3592,3932.29387449436,-340.29387449436
2015-03-13,3622.8,3944.46584391446,-321.665843914461
2015-03-16,3713.8,3956.51306168243,-242.713061682426
2015-03-17,3765,3968.43049692902,-203.430496929016
2015-03-18,3813,3980.21301845717,-167.213018457175
2015-03-19,3829.8,3991.85541097967,-162.05541097967
2015-03-20,3886.6,4003.35239009044,-116.752390090437
2015-03-23,3994.2,4014.69860439624,-20.4986043962442
2015-03-24,3963.6,4025.88865424238,-62.2886542423807
2015-03-25,3951.8,4036.91713150205,-85.1171315020469
2015-03-26,3934,4047.77860229965,-113.778602299647
2015-03-27,3985.6,4058.46759757632,-72.8675975763242
2015-03-30,4140.6,4068.97860124151,71.621398758489
2015-03-31,4035.8,4079.30606708409,-43.5060670840915
2015-04-01,4122.8,4089.44447849886,33.355521501143
2015-04-02,4106.2,4099.38830089569,6.8116991043123
2015-04-03,4206,4109.13201347362,96.8679865263841
2015-04-07,4239.8,4118.6700982463,121.129901753699
2015-04-08,4247.6,4127.99707726963,119.602922730368
2015-04-09,4226.2,4137.10752266896,89.0924773310356
2015-04-10,4377,4145.99605600908,231.003943990924
2015-04-13,4421,4154.65733568212,266.342664317884
2015-04-14,4416.6,4163.08611556824,253.513884431764
2015-04-15,4382.4,4171.27725964208,211.122740357917
2015-04-16,4521.2,4179.22573667127,341.974263328725
2015-04-17,4599.2,4186.92660269297,412.273397307027
2015-04-20,4516.4,4194.37505510255,322.024944897449
2015-04-21,4618.8,4201.56646171307,417.233538286928
2015-04-22,4761,4208.49632344967,552.503676550327
2015-04-23,4716,4215.16031370499,500.839686295006
2015-04-24,4722,4221.55433425453,500.445665745474
2015-04-27,4804,4227.67449390017,576.325506099828
2015-04-28,4721,4233.51710830839,487.482891691615
2015-04-29,4771,4239.07873137544,531.921268624558
2015-04-30,4767.8,4244.35611850372,523.443881496278
2015-05-04,4757.6,4249.34624496984,508.253755030156
2015-05-05,4618,4254.04630242169,363.953697578314
2015-05-06,4582,4258.45369259841,323.546307401591
2015-05-07,4503.2,4262.56596768339,240.634032316613
2015-05-08,4541.4,4266.38081360109,275.019186398909
2015-05-11,4658,4269.89601574298,388.103984257016
2015-05-12,4704,4273.10947318416,430.890526815838
2015-05-13,4674.2,4276.01924542514,398.180754574858
2015-05-14,4691,4278.62357008048,412.376429919524
2015-05-15,4634.6,4280.92084935576,353.679150644242
2015-05-18,4536.8,4282.90965591586,253.89034408414
2015-05-19,4774,4284.58870862384,489.41129137616
2015-05-20,4775,4285.95683129063,489.043168709365
2015-05-21,4891.8,4287.01305002937,604.786949970633
2015-05-22,5022.8,4287.75659310339,735.043406896608
2015-05-25,5156.4,4288.18693877173,868.213061228265
2015-05-26,5274.2,4288.30386913077,985.896130869232
2015-05-27,5290,4288.10752516063,1001.89247483938
2015-05-28,4943.2,4287.59845537137,655.601544628634
2015-05-29,4897,4286.77762241563,610.222377584372
2015-06-01,5249,4285.64625994532,963.353740054676
2015-06-02,5264.2,4284.20585385254,979.994146147461
2015-06-03,5182.6,4282.45828824306,900.14171175694
2015-06-04,5250.4,4280.40585231152,969.99414768848
2015-06-05,5230.4,4278.05120733484,952.348792665158
2015-06-08,5335.4,4275.39741554739,1060.00258445261
2015-06-09,5250.4,4272.44793284548,977.952067154518
2015-06-10,5252.8,4269.20665328834,983.593346711658
2015-06-11,5299.6,4265.67787518073,1033.92212481927
2015-06-12,5361.6,4261.86630340562,1099.73369659438
2015-06-15,5199.8,4257.77707022863,942.022929771368
2015-06-16,5069.2,4253.41576249945,815.784237500549
2015-06-17,5113.8,4248.78835646329,865.011643536712
2015-06-18,4934,4243.90116557588,690.098834424122
2015-06-19,4768,4238.76086085784,529.239139142158
